"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  Testing DummyAPI.io endpoints with valid and invalid cases","205","Create User with invalid body","","Fri Mar 06 15:19:12 UTC 2026","passed","Fri Mar 06 15:19:12 UTC 2026","","DummyAPI.io API Testing","Create User with invalid body",""
"  Testing DummyAPI.io endpoints with valid and invalid cases","232","Create User","","Fri Mar 06 15:19:09 UTC 2026","passed","Fri Mar 06 15:19:09 UTC 2026","","DummyAPI.io API Testing","Create User",""
"  Testing DummyAPI.io endpoints with valid and invalid cases","143","Invalid API usage","","Fri Mar 06 15:19:12 UTC 2026","passed","Fri Mar 06 15:19:12 UTC 2026","","DummyAPI.io API Testing","Invalid API usage",""
"  Testing DummyAPI.io endpoints with valid and invalid cases","311","Delete User","","Fri Mar 06 15:19:10 UTC 2026","passed","Fri Mar 06 15:19:10 UTC 2026","","DummyAPI.io API Testing","Delete User",""
"  Testing DummyAPI.io endpoints with valid and invalid cases","2400","Get List of Users","","Fri Mar 06 15:19:06 UTC 2026","passed","Fri Mar 06 15:19:09 UTC 2026","","DummyAPI.io API Testing","Get List of Users",""
"  Testing DummyAPI.io endpoints with valid and invalid cases","205","Invalid API usage","","Fri Mar 06 15:19:11 UTC 2026","passed","Fri Mar 06 15:19:12 UTC 2026","","DummyAPI.io API Testing","Invalid API usage",""
"  Testing DummyAPI.io endpoints with valid and invalid cases","150","Invalid API usage","","Fri Mar 06 15:19:11 UTC 2026","passed","Fri Mar 06 15:19:11 UTC 2026","","DummyAPI.io API Testing","Invalid API usage",""
"  Testing DummyAPI.io endpoints with valid and invalid cases","149","Create User with invalid body","","Fri Mar 06 15:19:12 UTC 2026","passed","Fri Mar 06 15:19:12 UTC 2026","","DummyAPI.io API Testing","Create User with invalid body",""
"  Testing DummyAPI.io endpoints with valid and invalid cases","143","Create User with invalid body","","Fri Mar 06 15:19:12 UTC 2026","passed","Fri Mar 06 15:19:12 UTC 2026","","DummyAPI.io API Testing","Create User with invalid body",""
"  Testing DummyAPI.io endpoints with valid and invalid cases","168","Invalid API usage","","Fri Mar 06 15:19:11 UTC 2026","passed","Fri Mar 06 15:19:11 UTC 2026","","DummyAPI.io API Testing","Invalid API usage",""
"  Testing DummyAPI.io endpoints with valid and invalid cases","197","Get User by ID","","Fri Mar 06 15:19:09 UTC 2026","passed","Fri Mar 06 15:19:09 UTC 2026","","DummyAPI.io API Testing","Get User by ID",""
"  Testing DummyAPI.io endpoints with valid and invalid cases","141","Create User with invalid body","","Fri Mar 06 15:19:12 UTC 2026","passed","Fri Mar 06 15:19:12 UTC 2026","","DummyAPI.io API Testing","Create User with invalid body",""
"  Testing DummyAPI.io endpoints with valid and invalid cases","544","Get List of Tags","","Fri Mar 06 15:19:10 UTC 2026","passed","Fri Mar 06 15:19:11 UTC 2026","","DummyAPI.io API Testing","Get List of Tags",""
"  Testing DummyAPI.io endpoints with valid and invalid cases","997","Update User","","Fri Mar 06 15:19:09 UTC 2026","passed","Fri Mar 06 15:19:10 UTC 2026","","DummyAPI.io API Testing","Update User",""
"  Testing DummyAPI.io endpoints with valid and invalid cases","160","Invalid API usage","","Fri Mar 06 15:19:11 UTC 2026","passed","Fri Mar 06 15:19:11 UTC 2026","","DummyAPI.io API Testing","Invalid API usage",""
