"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 13 16:43:31 UTC 2026","Fri Mar 13 16:43:33 UTC 2026","1952","","DummyAPI.io API Testing","","Get User by ID","","Get User by ID","  Testing DummyAPI.io endpoints with valid and invalid cases"
"passed","Fri Mar 13 16:43:42 UTC 2026","Fri Mar 13 16:43:42 UTC 2026","142","","DummyAPI.io API Testing","","Invalid API usage","","Invalid API usage","  Testing DummyAPI.io endpoints with valid and invalid cases"
"passed","Fri Mar 13 16:43:40 UTC 2026","Fri Mar 13 16:43:41 UTC 2026","324","","DummyAPI.io API Testing","","Delete User","","Delete User","  Testing DummyAPI.io endpoints with valid and invalid cases"
"passed","Fri Mar 13 16:43:45 UTC 2026","Fri Mar 13 16:43:45 UTC 2026","137","","DummyAPI.io API Testing","","Create User with invalid body","","Create User with invalid body","  Testing DummyAPI.io endpoints with valid and invalid cases"
"passed","Fri Mar 13 16:43:45 UTC 2026","Fri Mar 13 16:43:46 UTC 2026","156","","DummyAPI.io API Testing","","Create User with invalid body","","Create User with invalid body","  Testing DummyAPI.io endpoints with valid and invalid cases"
"passed","Fri Mar 13 16:43:42 UTC 2026","Fri Mar 13 16:43:42 UTC 2026","160","","DummyAPI.io API Testing","","Invalid API usage","","Invalid API usage","  Testing DummyAPI.io endpoints with valid and invalid cases"
"passed","Fri Mar 13 16:43:42 UTC 2026","Fri Mar 13 16:43:42 UTC 2026","175","","DummyAPI.io API Testing","","Invalid API usage","","Invalid API usage","  Testing DummyAPI.io endpoints with valid and invalid cases"
"passed","Fri Mar 13 16:43:42 UTC 2026","Fri Mar 13 16:43:45 UTC 2026","2532","","DummyAPI.io API Testing","","Invalid API usage","","Invalid API usage","  Testing DummyAPI.io endpoints with valid and invalid cases"
"passed","Fri Mar 13 16:43:45 UTC 2026","Fri Mar 13 16:43:45 UTC 2026","198","","DummyAPI.io API Testing","","Create User with invalid body","","Create User with invalid body","  Testing DummyAPI.io endpoints with valid and invalid cases"
"passed","Fri Mar 13 16:43:41 UTC 2026","Fri Mar 13 16:43:42 UTC 2026","966","","DummyAPI.io API Testing","","Get List of Tags","","Get List of Tags","  Testing DummyAPI.io endpoints with valid and invalid cases"
"passed","Fri Mar 13 16:43:28 UTC 2026","Fri Mar 13 16:43:31 UTC 2026","3178","","DummyAPI.io API Testing","","Get List of Users","","Get List of Users","  Testing DummyAPI.io endpoints with valid and invalid cases"
"passed","Fri Mar 13 16:43:42 UTC 2026","Fri Mar 13 16:43:42 UTC 2026","379","","DummyAPI.io API Testing","","Invalid API usage","","Invalid API usage","  Testing DummyAPI.io endpoints with valid and invalid cases"
"passed","Fri Mar 13 16:43:33 UTC 2026","Fri Mar 13 16:43:40 UTC 2026","6892","","DummyAPI.io API Testing","","Update User","","Update User","  Testing DummyAPI.io endpoints with valid and invalid cases"
"passed","Fri Mar 13 16:43:33 UTC 2026","Fri Mar 13 16:43:33 UTC 2026","349","","DummyAPI.io API Testing","","Create User","","Create User","  Testing DummyAPI.io endpoints with valid and invalid cases"
"passed","Fri Mar 13 16:43:45 UTC 2026","Fri Mar 13 16:43:45 UTC 2026","145","","DummyAPI.io API Testing","","Create User with invalid body","","Create User with invalid body","  Testing DummyAPI.io endpoints with valid and invalid cases"
