"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a logged in user
  I want to complete checkout
  So that I can purchase products","29113","Payment with missing required fields","","Fri Mar 06 15:58:43 UTC 2026","passed","Fri Mar 06 15:59:13 UTC 2026","","Checkout and Payment","Payment with missing required fields",""
"  As a registered user
  I want to log in
  So that I can access my account","3547","Failed login - empty field","","Fri Mar 06 15:58:06 UTC 2026","passed","Fri Mar 06 15:58:10 UTC 2026","","User Login","Failed login - empty field",""
"  As a logged in user
  I want to manage products
  So that I can browse and shop items","2320","View product details","","Fri Mar 06 15:59:15 UTC 2026","passed","Fri Mar 06 15:59:17 UTC 2026","","Product Management","View product details",""
"  As a new user
  I want to complete a full purchase journey
  So that I can register, login, buy a product, and logout successfully","46363","User completes full purchase journey","","Fri Mar 06 15:57:10 UTC 2026","passed","Fri Mar 06 15:57:56 UTC 2026","","Complete Purchase Flow","User completes full purchase journey",""
"  As a logged in user
  I want to manage products
  So that I can browse and shop items","2816","Add product to cart","","Fri Mar 06 15:59:17 UTC 2026","passed","Fri Mar 06 15:59:20 UTC 2026","","Product Management","Add product to cart",""
"  As a logged in user
  I want to manage products
  So that I can browse and shop items","18640","Remove product from cart","","Fri Mar 06 15:59:23 UTC 2026","passed","Fri Mar 06 15:59:41 UTC 2026","","Product Management","Remove product from cart",""
"  As a visitor
  I want to create an account
  So that I can log in to the application","1414","Failed registration - empty field","","Fri Mar 06 15:59:47 UTC 2026","passed","Fri Mar 06 15:59:49 UTC 2026","","User Signup","Failed registration - empty field",""
"  As a logged in user
  I want to manage products
  So that I can browse and shop items","2818","Add product to cart","","Fri Mar 06 15:59:20 UTC 2026","passed","Fri Mar 06 15:59:23 UTC 2026","","Product Management","Add product to cart",""
"  As a visitor
  I want to create an account
  So that I can log in to the application","1935","Successful registration","","Fri Mar 06 15:59:41 UTC 2026","passed","Fri Mar 06 15:59:43 UTC 2026","","User Signup","Successful registration",""
"  As a registered user
  I want to log in
  So that I can access my account","6350","Successful login","","Fri Mar 06 15:57:56 UTC 2026","passed","Fri Mar 06 15:58:02 UTC 2026","","User Login","Successful login",""
"  As a logged in user
  I want to log out
  So that my session ends securely","2306","Logout button not visible when user is not logged in","","Fri Mar 06 15:58:12 UTC 2026","passed","Fri Mar 06 15:58:14 UTC 2026","","User Logout","Logout button not visible when user is not logged in",""
"  As a logged in user
  I want to complete checkout
  So that I can purchase products","28969","Successful payment","","Fri Mar 06 15:58:14 UTC 2026","passed","Fri Mar 06 15:58:43 UTC 2026","","Checkout and Payment","Successful payment",""
"  As a logged in user
  I want to log out
  So that my session ends securely","2174","Successful logout","","Fri Mar 06 15:58:10 UTC 2026","passed","Fri Mar 06 15:58:12 UTC 2026","","User Logout","Successful logout",""
"  As a logged in user
  I want to manage products
  So that I can browse and shop items","2169","View products by category","","Fri Mar 06 15:59:13 UTC 2026","passed","Fri Mar 06 15:59:15 UTC 2026","","Product Management","View products by category",""
"  As a visitor
  I want to create an account
  So that I can log in to the application","3874","Failed registration - duplicate username","","Fri Mar 06 15:59:43 UTC 2026","passed","Fri Mar 06 15:59:47 UTC 2026","","User Signup","Failed registration - duplicate username",""
"  As a registered user
  I want to log in
  So that I can access my account","4052","Failed login - wrong password","","Fri Mar 06 15:58:02 UTC 2026","passed","Fri Mar 06 15:58:06 UTC 2026","","User Login","Failed login - wrong password",""
