"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 13 16:45:31 UTC 2026","Fri Mar 13 16:45:34 UTC 2026","2695","","Product Management","","View product details","","View product details","  As a logged in user
  I want to manage products
  So that I can browse and shop items"
"passed","Fri Mar 13 16:45:00 UTC 2026","Fri Mar 13 16:45:29 UTC 2026","28990","","Checkout and Payment","","Payment with missing required fields","","Payment with missing required fields","  As a logged in user
  I want to complete checkout
  So that I can purchase products"
"passed","Fri Mar 13 16:45:47 UTC 2026","Fri Mar 13 16:45:51 UTC 2026","4021","","User Signup","","Failed registration - duplicate username","","Failed registration - duplicate username","  As a visitor
  I want to create an account
  So that I can log in to the application"
"passed","Fri Mar 13 16:45:51 UTC 2026","Fri Mar 13 16:45:53 UTC 2026","1563","","User Signup","","Failed registration - empty field","","Failed registration - empty field","  As a visitor
  I want to create an account
  So that I can log in to the application"
"passed","Fri Mar 13 16:44:26 UTC 2026","Fri Mar 13 16:44:28 UTC 2026","2411","","User Logout","","Successful logout","","Successful logout","  As a logged in user
  I want to log out
  So that my session ends securely"
"passed","Fri Mar 13 16:44:28 UTC 2026","Fri Mar 13 16:44:30 UTC 2026","2353","","User Logout","","Logout button not visible when user is not logged in","","Logout button not visible when user is not logged in","  As a logged in user
  I want to log out
  So that my session ends securely"
"passed","Fri Mar 13 16:43:27 UTC 2026","Fri Mar 13 16:44:11 UTC 2026","44305","","Complete Purchase Flow","","User completes full purchase journey","","User completes full purchase journey","  As a new user
  I want to complete a full purchase journey
  So that I can register, login, buy a product, and logout successfully"
"passed","Fri Mar 13 16:45:37 UTC 2026","Fri Mar 13 16:45:40 UTC 2026","3347","","Product Management","","Add product to cart","","Add product to cart","  As a logged in user
  I want to manage products
  So that I can browse and shop items"
"passed","Fri Mar 13 16:45:29 UTC 2026","Fri Mar 13 16:45:31 UTC 2026","2290","","Product Management","","View products by category","","View products by category","  As a logged in user
  I want to manage products
  So that I can browse and shop items"
"passed","Fri Mar 13 16:45:45 UTC 2026","Fri Mar 13 16:45:47 UTC 2026","2046","","User Signup","","Successful registration","","Successful registration","  As a visitor
  I want to create an account
  So that I can log in to the application"
"passed","Fri Mar 13 16:45:34 UTC 2026","Fri Mar 13 16:45:37 UTC 2026","3089","","Product Management","","Add product to cart","","Add product to cart","  As a logged in user
  I want to manage products
  So that I can browse and shop items"
"passed","Fri Mar 13 16:44:22 UTC 2026","Fri Mar 13 16:44:26 UTC 2026","3620","","User Login","","Failed login - empty field","","Failed login - empty field","  As a registered user
  I want to log in
  So that I can access my account"
"passed","Fri Mar 13 16:44:18 UTC 2026","Fri Mar 13 16:44:22 UTC 2026","4248","","User Login","","Failed login - wrong password","","Failed login - wrong password","  As a registered user
  I want to log in
  So that I can access my account"
"passed","Fri Mar 13 16:44:30 UTC 2026","Fri Mar 13 16:45:00 UTC 2026","29283","","Checkout and Payment","","Successful payment","","Successful payment","  As a logged in user
  I want to complete checkout
  So that I can purchase products"
"passed","Fri Mar 13 16:44:11 UTC 2026","Fri Mar 13 16:44:18 UTC 2026","7013","","User Login","","Successful login","","Successful login","  As a registered user
  I want to log in
  So that I can access my account"
"passed","Fri Mar 13 16:45:40 UTC 2026","Fri Mar 13 16:45:45 UTC 2026","4727","","Product Management","","Remove product from cart","","Remove product from cart","  As a logged in user
  I want to manage products
  So that I can browse and shop items"
