"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  Testing DummyAPI.io endpoints with valid and invalid cases","1017","Get List of Tags","","Thu Mar 05 23:22:33 UTC 2026","passed","Thu Mar 05 23:22:34 UTC 2026","","DummyAPI.io API Testing","Get List of Tags",""
"  Testing DummyAPI.io endpoints with valid and invalid cases","1788","Get List of Users","","Thu Mar 05 23:22:30 UTC 2026","passed","Thu Mar 05 23:22:32 UTC 2026","","DummyAPI.io API Testing","Get List of Users",""
"  Testing DummyAPI.io endpoints with valid and invalid cases","223","Get User by ID","","Thu Mar 05 23:22:32 UTC 2026","passed","Thu Mar 05 23:22:32 UTC 2026","","DummyAPI.io API Testing","Get User by ID",""
"  Testing DummyAPI.io endpoints with valid and invalid cases","142","Invalid API usage","","Thu Mar 05 23:22:34 UTC 2026","passed","Thu Mar 05 23:22:35 UTC 2026","","DummyAPI.io API Testing","Invalid API usage",""
"  Testing DummyAPI.io endpoints with valid and invalid cases","391","Create User","","Thu Mar 05 23:22:32 UTC 2026","passed","Thu Mar 05 23:22:32 UTC 2026","","DummyAPI.io API Testing","Create User",""
"  Testing DummyAPI.io endpoints with valid and invalid cases","145","Invalid API usage","","Thu Mar 05 23:22:35 UTC 2026","passed","Thu Mar 05 23:22:35 UTC 2026","","DummyAPI.io API Testing","Invalid API usage",""
"  Testing DummyAPI.io endpoints with valid and invalid cases","138","Create User with invalid body","","Thu Mar 05 23:22:36 UTC 2026","passed","Thu Mar 05 23:22:36 UTC 2026","","DummyAPI.io API Testing","Create User with invalid body",""
"  Testing DummyAPI.io endpoints with valid and invalid cases","140","Invalid API usage","","Thu Mar 05 23:22:35 UTC 2026","passed","Thu Mar 05 23:22:35 UTC 2026","","DummyAPI.io API Testing","Invalid API usage",""
"  Testing DummyAPI.io endpoints with valid and invalid cases","134","Create User with invalid body","","Thu Mar 05 23:22:35 UTC 2026","passed","Thu Mar 05 23:22:36 UTC 2026","","DummyAPI.io API Testing","Create User with invalid body",""
"  Testing DummyAPI.io endpoints with valid and invalid cases","167","Invalid API usage","","Thu Mar 05 23:22:35 UTC 2026","passed","Thu Mar 05 23:22:35 UTC 2026","","DummyAPI.io API Testing","Invalid API usage",""
"  Testing DummyAPI.io endpoints with valid and invalid cases","741","Update User","","Thu Mar 05 23:22:32 UTC 2026","passed","Thu Mar 05 23:22:33 UTC 2026","","DummyAPI.io API Testing","Update User",""
"  Testing DummyAPI.io endpoints with valid and invalid cases","137","Create User with invalid body","","Thu Mar 05 23:22:35 UTC 2026","passed","Thu Mar 05 23:22:35 UTC 2026","","DummyAPI.io API Testing","Create User with invalid body",""
"  Testing DummyAPI.io endpoints with valid and invalid cases","143","Create User with invalid body","","Thu Mar 05 23:22:35 UTC 2026","passed","Thu Mar 05 23:22:35 UTC 2026","","DummyAPI.io API Testing","Create User with invalid body",""
"  Testing DummyAPI.io endpoints with valid and invalid cases","350","Delete User","","Thu Mar 05 23:22:33 UTC 2026","passed","Thu Mar 05 23:22:33 UTC 2026","","DummyAPI.io API Testing","Delete User",""
"  Testing DummyAPI.io endpoints with valid and invalid cases","181","Invalid API usage","","Thu Mar 05 23:22:35 UTC 2026","passed","Thu Mar 05 23:22:35 UTC 2026","","DummyAPI.io API Testing","Invalid API usage",""
